link	meta_title	source	doi	title
https://www.scopus.com/inward/record.url?eid=2-s2.0-85101030633&partnerID=40&md5=247c840d1915ffb3bc08f1869f598941	the human in modeldriven engineering loop a case study on integrating handwritten code in modeldriven engineering repositories			
https://www.scopus.com/inward/record.url?eid=2-s2.0-70350597702&partnerID=40&md5=3c412caa7138678296fe7f3e03b0bf50	the nonlinear gyrokinetic flux tube code gkw			
https://www.scopus.com/inward/record.url?eid=2-s2.0-0027641243&partnerID=40&md5=5ae4296e0ae57ac6640e541733001368	topaz0 a program for computing observables and for fitting cross sections and forwardbackward asymmetries around the z0 peak			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85130720016&partnerID=40&md5=e3f08b17adfe2c393d79d17b6ee82735	toward an accurate method renaming approach via structural and lexical analyses | 一种基于结构和词汇分析的精确重命名方法			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85102406385&partnerID=40&md5=8516ce6335118064e7993cf9e0fa9c0e	towards a hybrid approach to build aspectoriented programs			
https://ieeexplore.ieee.org/abstract/document/6360666	towards an eassessment approach of algorithmic problemsolving skills using planbased program understanding approach			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85126203027&partnerID=40&md5=0b134177867ca2069922e5f443e5437b	tracerefiner an automated technique for refining coarsegrained requirementtoclass traces			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85135055415&partnerID=40&md5=6e78e719f89b35f7a1b0cc24328edc5e	understanding class name regularitya simple heuristic and supportive visualization			
https://www.scopus.com/inward/record.url?eid=2-s2.0-85115314329&partnerID=40&md5=10cc6360310f335822879b804f23d5d5	verification of ofec code under open roadm standard in 300 gbit/s fpga system | open roadm标准ofec码在300 gbit/s fpga系统中的验证			
https://ieeexplore.ieee.org/abstract/document/1631126	working session program comprehension and migration strategies for web service and serviceoriented architectures			
https://www.scopus.com/inward/record.url?eid=2-s2.0-80054059493&partnerID=40&md5=aa8c93a2b475b105d922c18c81e7598c	xray optics shape error evaluation synergy between innovative shape metrology and the traceit 3d raytracing			
